Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_162,VGND,li1,81.4200,59.8400,0.000141
FILLER_18_150,VGND,li1,77.2800,59.8400,0.000141
FILLER_18_139,VGND,li1,69.6900,59.8400,0.000140
FILLER_18_131,VGND,li1,67.6200,59.8400,0.000140
FILLER_18_109,VGND,li1,56.1200,59.8400,0.000121
FILLER_18_97,VGND,li1,52.9000,59.8400,0.000112
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000097
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000090
FILLER_18_62,VGND,li1,34.2700,59.8400,0.000063
FILLER_18_41,VGND,li1,24.6100,59.8400,0.000033
FILLER_18_37,VGND,li1,23.4600,59.8400,0.000033
FILLER_18_3,VGND,li1,7.8200,59.8400,0.000036
FILLER_17_177,VGND,li1,87.1700,59.8400,0.000142
FILLER_17_167,VGND,li1,82.5700,59.8400,0.000141
FILLER_17_163,VGND,li1,81.4200,59.8400,0.000141
FILLER_17_150,VGND,li1,75.9000,59.8400,0.000141
FILLER_17_138,VGND,li1,71.7600,59.8400,0.000140
FILLER_17_117,VGND,li1,59.5700,59.8400,0.000126
FILLER_17_113,VGND,li1,58.4200,59.8400,0.000126
FILLER_17_83,VGND,li1,44.3900,59.8400,0.000090
FILLER_17_71,VGND,li1,39.1000,59.8400,0.000077
FILLER_17_61,VGND,li1,33.8100,59.8400,0.000063
FILLER_17_57,VGND,li1,32.6600,59.8400,0.000056
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000050
FILLER_17_49,VGND,li1,28.2900,59.8400,0.000044
FILLER_17_45,VGND,li1,27.1400,59.8400,0.000044
FILLER_17_33,VGND,li1,23.4600,59.8400,0.000033
FILLER_17_21,VGND,li1,17.9400,59.8400,0.000035
FILLER_17_9,VGND,li1,12.4200,59.8400,0.000036
FILLER_17_3,VGND,li1,7.5900,59.8400,0.000036
FILLER_16_141,VGND,li1,71.3000,54.4000,0.000184
FILLER_16_138,VGND,li1,69.4600,54.4000,0.000184
FILLER_16_115,VGND,li1,59.1100,54.4000,0.000177
FILLER_16_105,VGND,li1,54.2800,54.4000,0.000172
FILLER_16_76,VGND,li1,42.3200,54.4000,0.000135
FILLER_16_64,VGND,li1,36.3400,54.4000,0.000105
FILLER_16_50,VGND,li1,30.3600,54.4000,0.000078
FILLER_16_40,VGND,li1,24.3800,54.4000,0.000050
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000052
FILLER_16_23,VGND,li1,17.0200,54.4000,0.000052
FILLER_15_177,VGND,li1,87.1700,54.4000,0.000188
FILLER_15_169,VGND,li1,85.1000,54.4000,0.000188
FILLER_15_164,VGND,li1,81.8800,54.4000,0.000188
FILLER_15_155,VGND,li1,77.0500,54.4000,0.000186
FILLER_15_151,VGND,li1,75.9000,54.4000,0.000186
FILLER_15_143,VGND,li1,71.5300,54.4000,0.000184
FILLER_15_119,VGND,li1,60.4900,54.4000,0.000177
FILLER_15_113,VGND,li1,58.8800,54.4000,0.000177
FILLER_15_106,VGND,li1,55.6600,54.4000,0.000172
FILLER_15_60,VGND,li1,33.5800,54.4000,0.000088
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000078
FILLER_15_40,VGND,li1,25.7600,54.4000,0.000050
FILLER_15_30,VGND,li1,20.0100,54.4000,0.000051
FILLER_15_19,VGND,li1,14.4900,54.4000,0.000053
FILLER_15_7,VGND,li1,11.5000,54.4000,0.000054
FILLER_14_170,VGND,li1,85.5600,48.9600,0.000037
FILLER_14_158,VGND,li1,80.9600,48.9600,0.000037
FILLER_14_134,VGND,li1,67.6200,48.9600,0.000037
FILLER_14_113,VGND,li1,57.7300,48.9600,0.000035
FILLER_14_79,VGND,li1,42.3200,48.9600,0.000027
FILLER_14_73,VGND,li1,39.3300,48.9600,0.000024
FILLER_14_69,VGND,li1,37.4900,48.9600,0.000023
FILLER_14_59,VGND,li1,33.3500,48.9600,0.000019
FILLER_14_47,VGND,li1,29.9000,48.9600,0.000016
FILLER_14_41,VGND,li1,25.0700,48.9600,0.000012
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000013
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000014
FILLER_14_15,VGND,li1,15.1800,48.9600,0.000015
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000016
FILLER_13_177,VGND,li1,87.1700,48.9600,0.000037
FILLER_13_169,VGND,li1,85.1000,48.9600,0.000037
FILLER_13_160,VGND,li1,80.9600,48.9600,0.000037
FILLER_13_151,VGND,li1,75.2100,48.9600,0.000037
FILLER_13_143,VGND,li1,73.1400,48.9600,0.000037
FILLER_13_131,VGND,li1,68.5400,48.9600,0.000037
FILLER_13_119,VGND,li1,63.0200,48.9600,0.000037
FILLER_13_108,VGND,li1,56.1200,48.9600,0.000035
FILLER_13_99,VGND,li1,51.2900,48.9600,0.000032
FILLER_13_95,VGND,li1,50.1400,48.9600,0.000032
FILLER_13_69,VGND,li1,37.9500,48.9600,0.000023
